CNO,SEX,AGGT,DIV,ACCOUNTANCY,ADV/MATHS,AGRICULTURE,ARABIC,BAM,BIOLOGY,CHEMISTRY,COMMERCE,COMP/SCIENCE,DIVINITY,ECONOMICS,ENGLISH,F & HN NUTRITION,FRENCH,G/STUDIES,GEOGR,HISTORY,IS/KNOWLEDGE,KISWAHILI,PHYSICS
P0101/0501,F,-,IV,X,X,,,D,D,C,X,,X,X,X,,X,F,D,X,,X,X
P0101/0502,F,-,IV,X,X,,,X,X,X,X,,X,X,D,,F,F,X,D,,C,X
P0101/0503,F,-,0,X,F,,,X,X,X,X,,X,X,X,,X,X,X,X,,X,F
P0101/0504,F,-,ABS,X,X,,,X,X,X,X,,X,X,X,,X,X,X,X,,X,X
P0101/0505,F,-,0,X,E,,,X,X,D,X,,X,X,X,,X,F,X,X,,X,E
P0101/0506,M,-,0,X,X,,,X,X,X,X,,X,X,X,,X,X,X,X,,X,E
P0101/0507,M,-,IV,X,X,,,X,X,X,X,,X,X,X,,X,F,F,D,,C,X
P0101/0508,M,-,IV,X,E,,,X,X,X,X,,X,C,X,,X,F,E,X,,X,X
P0101/0509,M,-,IV,B,X,,,E,X,X,E,,X,D,X,,X,E,X,X,,X,X
P0101/0510,M,9,II,X,X,,,X,X,X,X,,X,X,X,,X,E,C,B,,+,X
P0101/0511,M,-,ABS,X,X,,,X,X,X,X,,X,X,X,,X,X,X,X,,X,X
P0101/0512,M,-,0,X,E,,,X,X,E,X,,X,X,X,,X,E,X,X,,X,F
P0101/0513,M,-,ABS,X,X,,,X,X,X,X,,X,X,X,,X,X,X,X,,X,X
P0101/0514,M,-,IV,X,D,,,X,X,D,X,,X,X,X,,X,X,X,X,,X,E
P0101/0515,M,-,ABS,X,X,,,X,X,X,X,,X,X,X,,X,X,X,X,,X,X
P0101/0516,M,-,IV,X,X,,,D,F,D,X,,X,X,X,,X,F,D,X,,X,X
P0101/0517,M,-,ABS,X,X,,,X,X,X,X,,X,X,X,,X,X,X,X,,X,X
P0101/0518,M,-,ABS,X,X,,,X,X,X,X,,X,X,X,,X,X,X,X,,X,X
P0101/0519,M,-,IV,X,D,,,X,X,C,X,,X,X,X,,X,E,X,X,,X,F
P0101/0520,M,-,IV,X,X,,,X,X,X,X,,X,X,X,,X,F,E,D,,D,X
P0101/0521,M,13,III,X,X,,,X,X,X,X,,X,X,D,,X,D,X,D,,B,X
P0101/0522,M,-,ABS,X,X,,,X,X,X,X,,X,X,X,,X,X,X,X,,X,X
P0101/0523,M,-,0,X,E,,,X,X,E,X,,X,X,X,,X,F,X,X,,X,E
P0101/0524,M,-,ABS,X,X,,,X,X,X,X,,X,X,X,,X,X,X,X,,X,X
P0101/0525,M,-,0,X,E,,,X,X,X,X,,X,X,X,,X,F,X,X,,X,F
P0101/0526,M,-,ABS,X,X,,,X,X,X,X,,X,X,X,,X,X,X,X,,X,X
P0101/0527,M,-,0,X,X,,,E,E,F,X,,X,X,X,,X,X,X,X,,X,F
P0101/0528,M,-,IV,D,X,,,F,X,X,E,,X,D,X,,X,F,X,X,,X,X
P0101/0529,M,-,0,X,E,,,X,X,E,X,,X,X,X,,X,F,X,X,,X,X
P0101/0530,M,-,0,X,E,,,X,X,E,X,,X,X,X,,X,F,X,X,,X,D
P0101/0531,M,-,0,X,X,,,X,X,X,X,,X,X,D,,X,X,F,X,,X,X
P0101/0532,M,-,0,X,F,,,X,X,E,X,,X,X,X,,X,F,X,X,,X,E
P0101/0533,M,-,0,X,F,,,X,X,F,X,,X,X,X,,X,F,X,X,,X,D
P0101/0534,M,-,0,X,X,,,F,F,F,X,,X,X,X,,X,F,X,X,,X,F
P0101/0535,M,-,ABS,X,X,,,X,X,X,X,,X,X,X,,X,X,X,X,,X,X
P0101/0536,M,-,IV,X,D,,,X,X,X,X,,X,C,X,,X,F,D,X,,X,X
P0101/0537,M,-,0,X,D,,,X,X,F,X,,X,X,X,,X,F,X,X,,X,F
P0101/0538,M,-,0,X,X,,,E,X,X,X,,X,X,X,,X,F,X,X,,X,F
P0101/0539,M,-,0,X,X,,,F,E,F,X,,X,X,X,,X,X,X,X,,X,F
P0101/0540,M,-,0,X,D,,,X,X,X,X,,X,X,X,,X,X,X,X,,X,X
P0101/0541,M,-,0,X,F,,,X,X,X,X,,X,X,X,,X,X,X,X,,X,X
P0101/0542,M,-,IV,X,D,,,X,X,X,X,,X,X,X,,X,X,X,X,,X,D
P0101/0543,M,-,0,X,F,,,X,X,X,X,,X,D,X,,X,F,E,X,,X,X
P0104/0501,F,12,III,,X,,,X,X,X,,,,X,C,,,E,X,D,,B,X
P0104/0502,F,12,III,,X,,,X,X,X,,,,X,C,,,E,D,B,,X,X
P0104/0503,F,10,III,,X,,,X,X,X,,,,X,C,,,F,X,B,,B,X
P0104/0504,F,10,III,,X,,,X,X,X,,,,X,C,,,E,X,B,,B,X
P0104/0505,F,-,IV,,X,,,X,X,X,,,,X,X,,,F,F,F,,C,X
P0104/0506,F,-,IV,,X,,,X,X,X,,,,X,D,,,F,X,E,,B,X
P0104/0507,F,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P0104/0508,F,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P0104/0509,F,-,IV,,X,,,C,X,B,,,,X,X,,,X,X,X,,X,X
P0104/0510,F,11,III,,X,,,X,X,X,,,,X,C,,,F,X,D,,+,X
P0104/0511,F,-,IV,,X,,,X,X,X,,,,X,F,,,E,X,C,,C,X
P0104/0512,M,-,IV,,X,,,X,X,X,,,,X,D,,,F,D,C,,X,X
P0104/0513,M,-,IV,,F,,,X,X,X,,,,C,X,,,E,C,X,,X,X
P0104/0514,M,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P0104/0515,M,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P0104/0516,M,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P0104/0517,M,-,IV,,X,,,F,D,F,,,,X,X,,,E,D,X,,X,X
P0104/0518,M,10,III,,X,,,X,C,B,,,,X,X,,,X,B,X,,X,X
P0104/0519,M,12,III,,X,,,X,X,X,,,,X,C,,,E,X,D,,B,X
P0104/0520,M,10,III,,X,,,X,X,X,,,,X,X,,,D,C,B,,B,X
P0104/0521,M,11,III,,X,,,X,X,X,,,,X,X,,,F,C,C,,B,X
P0104/0522,M,-,0,,X,,,X,X,X,,,,X,X,,,X,E,D,,X,X
P0104/0523,M,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P0104/0524,M,-,0,,F,,,X,X,X,,,,X,X,,,X,X,X,,X,F
P0104/0525,M,12,III,,X,,,C,B,B,,,,X,X,,,E,X,X,,X,E
P0104/0526,M,12,III,,X,,,X,X,X,,,,X,X,,,E,D,C,,B,X
P0104/0527,M,11,III,,X,,,X,X,X,,,,X,C,,,D,C,B,,X,X
P0104/0528,M,-,0,,F,,,X,X,X,,,,X,X,,,F,F,X,,F,X
P0104/0529,M,-,IV,,E,,,X,X,X,,,,D,X,,,E,C,X,,X,X
P0104/0530,M,12,III,,X,,,X,X,X,,,,X,B,,,F,D,C,,X,X
P0104/0531,M,-,IV,,D,,,X,X,B,,,,X,X,,,F,X,X,,X,E
P0104/0532,M,-,IV,,X,,,X,X,B,,,,X,X,,,F,X,X,,X,X
P0104/0533,M,-,0,,E,,,X,X,X,,,,X,X,,,E,X,X,,X,D
P0104/0534,M,-,0,,F,,,X,X,D,,,,X,X,,,X,X,X,,X,E
P0104/0535,M,10,III,,X,,,X,X,X,,,,X,C,,,D,X,B,,B,X
P0104/0536,M,-,0,,X,,,X,X,X,,,,X,X,,,X,E,F,,D,X
P0104/0537,M,-,IV,,X,,,X,X,X,,,,X,D,,,F,E,D,,X,X
P0104/0538,M,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P0104/0539,M,-,0,,D,,,X,X,X,,,,X,X,,,X,X,X,,X,E
P0104/0540,M,-,0,,E,,,X,X,X,,,,X,X,,,F,X,X,,X,E
P0104/0541,M,-,IV,,X,,,X,D,C,,,,X,X,,,X,X,X,,X,F
P0104/0542,M,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P0104/0543,M,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P0104/0544,M,-,0,,E,,,X,X,X,,,,X,X,,,F,E,X,,X,F
P0104/0545,M,13,III,,X,,,X,X,X,,,,X,X,,,E,D,D,,B,X
P0104/0546,M,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P0104/0547,M,-,IV,,X,,,X,X,X,,,,X,F,,,E,X,B,,C,X
P0104/0548,M,-,0,,X,,,X,X,X,,,,X,E,,,F,X,E,,D,X
P0104/0549,M,-,0,,E,,,X,X,D,,,,X,X,,,E,X,X,,X,E
P0104/0550,M,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P0104/0551,M,11,III,,X,,,X,X,X,,,,X,C,,,E,X,C,,B,X
P0104/0552,M,8,II,,X,,,X,X,X,,,,X,B,,,E,X,B,,+,X
P0104/0553,M,-,0,,X,,,E,X,E,,,,X,X,,,F,X,X,,X,F
P0104/0554,M,13,III,,X,,,X,X,X,,,,X,C,,,F,X,F,,+,X
P0104/0555,M,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P0104/0556,M,-,0,,F,,,X,X,E,,,,X,X,,,F,X,X,,X,E
P0104/0557,M,13,III,,D,,,X,X,X,,,,C,X,,,X,C,X,,X,X
P0104/0558,M,-,IV,,C,,,X,X,D,,,,X,X,,,F,X,X,,X,X
P0110/0501,F,-,IV,X,X,,,X,X,X,X,,X,X,D,,,F,X,E,X,C,X
P0110/0502,F,13,III,X,X,,,X,X,X,X,,X,X,D,,,F,X,D,X,B,X
P0110/0503,F,-,IV,X,X,,,X,X,X,X,,X,X,D,,,F,X,E,X,B,X
