CNO,SEX,AGGT,DIV,ACCOUNTANCY,ADV/MATHS,AGRICULTURE,ARABIC,BAM,BIOLOGY,CHEMISTRY,COMMERCE,COMP/SCIENCE,DIVINITY,ECONOMICS,ENGLISH,F & HN NUTRITION,FRENCH,G/STUDIES,GEOGR,HISTORY,IS/KNOWLEDGE,KISWAHILI,PHYSICS
P0110/0504,F,12,III,X,X,,,X,X,X,X,,X,X,C,,,E,X,D,X,B,X
P0110/0505,F,-,0,X,F,,,X,E,D,X,,X,X,X,,,F,X,X,X,X,X
P0110/0506,F,12,III,X,X,,,X,X,X,X,,X,X,C,,,E,C,C,X,X,X
P0110/0507,F,10,III,X,X,,,X,X,X,X,,X,X,C,,,D,X,B,X,B,X
P0110/0508,F,-,IV,X,X,,,X,X,X,X,,X,X,D,,,E,X,E,X,B,X
P0110/0509,F,12,III,X,X,,,X,X,X,X,,X,X,X,,,F,D,C,X,B,X
P0110/0510,F,-,IV,X,X,,,X,X,X,X,,X,X,E,,,X,D,D,X,X,X
P0110/0511,F,9,II,X,X,,,X,X,X,X,,X,X,C,,,E,X,B,X,+,X
P0110/0512,F,13,III,X,X,,,X,X,X,X,,F,X,C,,,E,D,C,X,X,X
P0110/0513,F,-,IV,X,X,,,X,X,X,X,,X,X,E,,,E,X,D,X,B,X
P0110/0514,F,-,IV,X,X,,,X,X,X,X,,X,X,X,,,F,F,D,X,B,X
P0110/0515,F,10,III,X,X,,,X,X,X,X,,X,X,C,,,E,X,C,X,+,X
P0110/0516,F,10,III,X,X,,,X,X,X,X,,X,X,C,,,E,X,C,X,+,X
P0110/0517,F,13,III,X,X,,,X,X,X,X,,X,X,D,,,F,X,D,X,B,X
P0110/0518,F,9,II,X,X,,,X,X,X,X,,X,X,B,,,C,X,B,X,B,X
P0110/0519,F,-,ABS,X,X,,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X
P0110/0520,F,12,III,X,X,,,X,X,X,X,,X,X,X,,,F,E,B,X,B,X
P0110/0521,F,10,III,X,X,,,X,X,X,X,,X,X,C,,,F,X,B,X,B,X
P0110/0522,F,10,III,X,X,,,X,X,X,X,,X,X,C,,,E,X,C,X,+,X
P0110/0523,F,10,III,X,X,,,X,X,X,X,,X,X,D,,,D,X,B,X,+,X
P0110/0524,F,-,IV,X,X,,,X,X,X,X,,X,X,X,,,F,F,D,X,D,X
P0110/0525,F,13,III,X,X,,,X,X,X,X,,X,X,E,,,E,X,C,X,B,X
P0110/0526,F,12,III,X,X,,,X,X,X,X,,X,X,C,,,D,X,D,X,B,X
P0110/0527,F,-,IV,X,X,,,X,X,X,X,,X,X,F,,,D,X,C,X,D,X
P0110/0528,F,-,IV,X,X,,,X,X,X,X,,X,X,E,,,F,X,C,X,X,X
P0110/0529,F,9,II,X,X,,,X,X,X,X,,X,X,B,,,F,X,B,X,B,X
P0110/0530,F,10,III,X,X,,,X,X,X,X,,X,X,C,,,E,X,C,X,+,X
P0110/0531,F,-,IV,X,X,,,X,X,X,X,,X,X,E,,,E,X,C,X,C,X
P0110/0532,F,10,III,X,X,,,X,X,X,X,,X,X,C,,,E,X,C,X,+,X
P0110/0533,F,12,III,X,X,,,B,C,B,X,,X,X,X,,,D,X,X,X,X,D
P0110/0534,F,-,ABS,X,X,,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X
P0110/0535,F,10,III,X,X,,,X,X,X,X,,X,X,B,,,E,X,C,X,B,X
P0110/0536,F,12,III,X,X,,,X,X,X,X,,X,X,D,,,E,X,C,X,B,X
P0110/0537,F,-,ABS,X,X,,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X
P0110/0538,F,-,0,X,X,,,X,X,X,X,,X,X,E,,,E,X,E,X,D,X
P0110/0539,F,11,III,X,X,,,X,X,X,X,,X,X,C,,,F,X,D,X,+,X
P0110/0540,F,12,III,X,X,,,X,X,X,X,,X,X,D,,,E,X,C,X,B,X
P0110/0541,F,-,IV,X,X,,,X,X,X,X,,X,X,D,,,F,X,F,X,C,X
P0110/0542,F,11,III,X,X,,,X,X,X,X,,X,X,X,,,E,C,C,X,B,X
P0110/0543,F,12,III,X,X,,,X,X,X,X,,X,X,D,,,F,X,C,X,B,X
P0110/0544,F,12,III,X,X,,,X,X,X,X,,X,X,D,,,E,X,C,X,B,X
P0110/0545,F,12,III,X,X,,,X,X,X,X,,X,X,D,,,F,X,D,X,+,X
P0110/0546,F,-,IV,X,X,,,X,X,X,X,,X,X,X,,,E,F,E,X,B,X
P0110/0547,F,-,IV,X,X,,,X,X,X,X,,X,X,X,,,F,D,D,X,C,X
P0110/0548,F,9,II,X,X,,,X,X,X,X,,X,X,C,,,D,X,B,X,+,X
P0110/0549,F,-,IV,X,X,,,X,X,X,X,,X,X,E,,,F,X,E,X,C,X
P0110/0550,F,9,II,X,X,,,X,X,X,X,,X,X,C,,,E,X,B,X,+,X
P0110/0551,F,13,III,X,X,,,X,X,X,X,,X,X,X,,,F,D,D,X,B,X
P0110/0552,M,-,IV,X,X,,,E,D,D,X,,X,X,X,,,E,X,X,X,X,F
P0110/0553,M,-,IV,X,D,,,X,X,D,X,,X,X,X,,,X,X,X,X,X,E
P0110/0554,M,-,IV,X,D,,,X,X,D,X,,X,X,X,,,D,X,X,X,X,E
P0110/0555,M,13,III,X,X,,,F,X,X,X,,X,D,X,,,E,D,B,X,X,X
P0110/0556,M,-,IV,X,X,,,X,X,X,X,,X,X,D,,,X,X,X,X,B,X
P0110/0557,M,-,IV,X,X,,,X,X,X,X,,X,X,E,,,F,X,C,X,C,X
P0110/0558,M,12,III,X,X,,,X,X,X,X,,X,X,D,,,D,C,B,X,X,X
P0110/0559,M,9,II,X,X,,,X,X,X,X,,X,X,X,,,E,C,B,X,+,X
P0110/0560,M,-,ABS,X,X,,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X
P0110/0561,M,10,III,X,X,,,X,X,X,X,,X,X,C,,,E,X,B,X,B,X
P0110/0562,M,-,IV,X,X,,,X,X,X,X,,X,X,E,,,F,X,C,X,D,X
P0110/0563,M,-,ABS,X,X,,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X
P0110/0564,M,-,0,X,X,,,X,X,X,X,,X,X,E,,,F,E,D,X,X,X
P0110/0565,M,-,IV,C,X,,,X,X,X,E,,X,D,X,,,D,X,X,X,X,X
P0110/0566,M,-,0,X,X,,,X,X,X,X,,E,X,E,,,E,E,D,X,X,X
P0110/0567,M,10,III,X,X,,,X,X,X,X,,X,X,X,,,E,C,B,X,B,X
P0110/0568,M,-,IV,X,D,,,X,X,X,X,,X,X,X,,,E,X,X,X,X,D
P0110/0569,M,11,III,X,X,,,X,X,X,X,,X,X,X,,,E,C,B,X,C,X
P0110/0571,M,-,ABS,X,X,,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X
P0110/0572,M,-,0,F,X,,,X,X,X,E,,X,E,X,,,F,X,X,X,X,X
P0110/0573,M,10,III,X,X,,,X,X,X,X,,X,X,X,,,E,C,B,X,B,X
P0110/0574,M,-,IV,X,X,,,X,X,X,X,,X,X,C,,,E,D,X,X,X,X
P0110/0575,M,-,IV,X,X,,,X,X,X,X,,X,X,D,,,E,D,C,X,X,X
P0110/0576,M,-,0,X,E,,,X,X,X,X,,X,X,X,,,F,X,X,X,X,E
P0110/0577,M,-,0,X,X,,,X,X,X,X,,X,X,X,,,X,E,X,X,X,X
P0110/0578,M,-,IV,X,C,,,X,X,X,X,,X,C,X,,,E,X,X,X,X,X
P0110/0579,M,-,IV,X,X,,,X,X,X,X,,X,X,E,,,F,X,E,X,B,X
P0110/0580,M,-,IV,X,X,,,X,X,X,X,,X,X,E,,,F,X,D,X,C,X
P0110/0581,M,-,0,X,D,,,X,X,X,X,,X,X,X,,,F,X,X,X,X,E
P0110/0582,M,-,0,E,X,,,F,X,X,E,,X,D,X,,,E,X,X,X,X,X
P0110/0583,M,-,ABS,X,X,,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X
P0110/0584,M,-,ABS,X,X,,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X
P0110/0585,M,-,IV,X,X,,,X,X,X,X,,E,X,D,,,E,D,D,X,X,X
P0110/0586,M,11,III,X,X,,,C,B,B,X,,X,X,X,,,D,X,X,X,X,D
P0110/0587,M,-,ABS,X,X,,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X
P0110/0588,M,11,III,X,X,,,X,X,X,X,,X,X,C,,,D,X,C,X,B,X
P0110/0589,M,13,III,B,X,,,F,X,X,D,,X,D,X,,,F,X,X,X,X,X
P0110/0590,M,11,III,X,X,,,X,X,X,X,,X,X,X,,,F,C,C,X,B,X
P0110/0591,M,-,IV,X,F,,,X,X,X,X,,X,C,X,,,E,X,X,X,X,X
P0110/0592,M,-,0,X,X,,,X,X,E,X,,X,X,X,,,X,X,X,X,X,F
P0110/0593,M,-,ABS,X,X,,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X
P0110/0594,M,10,III,X,X,,,X,X,X,X,,X,X,X,,,D,C,C,X,+,X
P0110/0595,M,-,0,X,X,,,X,X,X,X,,X,X,X,,,F,F,F,X,X,X
P0110/0596,M,-,0,X,E,,,X,X,X,X,,X,X,X,,,E,E,X,X,X,F
P0110/0597,M,-,0,X,X,,,X,E,D,X,,X,X,X,,,X,X,X,X,X,E
P0110/0598,M,12,III,X,D,,,X,X,X,X,,X,C,X,,,E,B,X,X,X,X
P0110/0599,M,-,IV,X,X,,,X,X,X,X,,X,X,D,,,E,E,D,X,X,X
P0110/0600,M,-,0,X,X,,,X,X,X,D,,X,X,X,,,X,X,X,X,X,X
P0110/0601,M,10,III,X,X,,,X,X,X,X,,X,X,X,,,E,C,B,X,B,X
P0110/0602,M,-,IV,X,X,,,X,X,X,X,,D,X,D,,,F,E,C,X,X,X
P0110/0603,M,-,ABS,X,X,,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X
P0110/0604,M,9,II,X,X,,,X,X,X,X,,X,X,C,,,D,X,B,X,+,X
P0110/0605,M,-,ABS,X,X,,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X
P0110/0606,M,10,III,X,X,,,X,X,X,X,,D,X,C,,,E,X,B,X,B,X
P0110/0607,M,-,IV,X,X,,,X,X,X,X,,X,X,C,,,E,D,D,X,X,X
P0110/0608,M,-,IV,X,X,,,X,X,X,X,,X,X,F,,,X,X,C,X,X,X
P0110/0609,M,13,III,X,X,,,X,X,X,X,,X,X,C,,,F,D,C,X,X,X
P0110/0610,M,12,III,X,X,,,X,X,X,X,,X,X,D,,,E,X,B,X,C,X
P0110/0611,M,-,IV,X,X,,,F,X,X,X,,C,D,X,,,F,D,C,X,X,X
P0110/0612,M,13,III,X,X,,,F,X,X,X,,X,D,X,,,E,D,B,X,X,X
P0110/0613,M,13,III,X,X,,,X,X,X,X,,X,X,X,,,F,D,C,X,C,X
P0110/0614,M,13,III,X,X,,,X,X,X,X,,X,X,X,,,E,D,C,X,C,X
P0110/0615,M,-,0,X,X,,,X,X,X,X,,X,X,X,,,E,F,E,X,D,X
P0110/0616,M,11,III,X,X,,,C,X,X,X,,X,C,X,,,D,C,B,X,X,X
P0110/0618,M,11,III,X,X,,,X,X,X,X,,X,X,D,,,E,X,B,X,B,X
P0110/0619,M,-,0,X,F,,,X,X,X,X,,X,F,X,,,F,E,X,X,X,X
P0110/0620,M,-,ABS,X,X,,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X
P0110/0621,M,-,IV,X,X,,,X,X,X,X,,X,X,D,,,F,X,D,X,C,X
P0110/0623,M,-,0,X,E,,,X,X,X,X,,X,X,X,,,E,X,X,X,X,X
P0110/0624,M,-,ABS,X,X,,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X
P0110/0625,M,-,ABS,X,X,,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X
P0110/0626,M,-,ABS,X,X,,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X
P0110/0627,M,10,III,X,X,,,X,X,X,X,,X,X,X,,,D,C,B,X,B,X
P0110/0628,M,-,IV,X,X,,,X,X,X,X,,X,E,X,,,X,D,D,X,X,X
P0110/0629,M,-,ABS,X,X,,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X
P0110/0630,M,-,0,X,F,,,X,X,X,X,,X,E,X,,,F,E,X,X,X,X
P0110/0631,M,-,IV,X,D,,,X,X,C,X,,X,X,X,,,F,X,X,X,X,E
P0110/0632,M,-,0,X,X,,,X,X,X,X,,X,X,F,,,F,D,E,X,X,X
P0110/0633,M,12,III,X,X,,,X,X,X,X,,X,X,C,,,E,X,D,X,B,X
P0110/0634,M,-,IV,X,X,,,X,X,X,X,,X,D,X,,,X,X,D,X,X,X
P0110/0635,M,-,0,X,F,,,X,X,X,X,,X,E,X,,,F,D,X,X,X,X
P0110/0636,M,-,IV,X,X,,,F,X,X,X,,X,D,X,,,F,D,C,X,X,X
P0110/0637,M,11,III,X,X,,,X,X,X,X,,X,X,X,,,E,D,B,X,B,X
P0110/0638,M,-,IV,X,X,,,F,D,F,X,,X,X,X,,,F,D,X,X,X,X
P0110/0639,M,-,IV,X,D,,,X,X,X,X,,X,X,X,,,X,C,X,X,X,X
P0110/0640,M,-,0,X,F,,,X,X,E,X,,X,X,X,,,F,X,X,X,X,E
P0110/0641,M,11,III,X,X,,,X,X,X,X,,X,X,C,,,D,X,C,X,B,X
P0110/0642,M,-,0,X,X,,,E,D,X,X,,X,X,X,,,X,X,X,X,X,F
P0110/0643,M,-,IV,X,X,,,X,X,X,X,,X,X,X,,,F,D,X,X,B,X
P0110/0644,M,-,0,X,X,,,X,X,X,X,,X,X,E,,,X,X,E,X,X,X
P0110/0645,M,-,ABS,X,X,,,X,X,X,X,,X,X,X,,,X,X,X,X,X,X
P0110/0646,M,-,IV,X,X,,,X,X,X,X,,X,X,X,,,F,E,D,X,D,X
P0110/0647,M,-,IV,X,X,,,X,X,X,X,,X,X,E,,,E,D,C,X,X,X
P0110/0648,M,-,0,X,F,,,X,X,X,X,,X,E,X,,,E,E,X,X,X,X
P0110/0649,M,-,IV,X,X,,,X,X,X,X,,X,X,E,,,F,X,D,X,C,X
P0110/0650,M,10,III,X,X,,,X,X,X,X,,X,X,X,,,D,C,B,X,B,X
P0110/0651,M,-,0,X,F,,,X,X,X,X,,X,X,X,,,X,D,X,X,X,X
P0110/0652,M,-,0,X,F,,,X,X,F,X,,X,X,X,,,F,X,X,X,X,F
P0110/0653,M,-,0,X,F,,,X,X,X,X,,X,E,X,,,F,D,X,X,X,X
P0112/0501,F,-,ABS,,X,,,X,X,X,,,X,X,X,,,X,X,X,,X,X
P0112/0502,F,12,III,,X,,,X,X,X,,,X,X,D,,,E,X,C,,B,X
P0112/0503,F,-,ABS,,X,,,X,X,X,,,X,X,X,,,X,X,X,,X,X
P0112/0504,F,-,IV,,X,,,X,X,X,,,X,X,X,,,F,E,D,,B,X
P0112/0505,F,10,III,,X,,,X,X,X,,,X,X,D,,,E,X,B,,+,X
P0112/0506,F,-,IV,,X,,,X,X,X,,,X,X,E,,,F,X,D,,C,X
P0112/0507,F,11,III,,X,,,X,X,X,,,X,X,X,,,D,D,B,,B,X
P0112/0508,F,-,ABS,,X,,,X,X,X,,,X,X,X,,,X,X,X,,X,X
P0112/0509,F,-,0,,X,,,X,X,X,,,X,X,F,,,E,X,F,,D,X
P0112/0510,F,-,ABS,,X,,,X,X,X,,,X,X,X,,,X,X,X,,X,X
P0112/0511,F,-,ABS,,X,,,X,X,X,,,X,X,X,,,X,X,X,,X,X
P0112/0512,F,13,III,,X,,,X,X,X,,,X,X,X,,,E,D,D,,B,X
P0112/0513,F,-,IV,,X,,,X,X,X,,,X,X,E,,,E,X,D,,C,X
P0112/0514,F,-,0,,F,,,X,X,X,,,X,E,X,,,F,E,X,,X,X
P0112/0515,F,13,III,,X,,,X,X,X,,,X,X,X,,,E,D,D,,B,X
P0112/0516,F,-,IV,,X,,,X,X,X,,,X,X,E,,,F,X,D,,C,X
P0112/0517,F,-,0,,X,,,X,X,X,,,X,X,E,,,E,D,E,,X,X
P0112/0518,F,13,III,,X,,,X,X,X,,,X,X,X,,,E,D,D,,B,X
P0112/0519,F,-,ABS,,X,,,X,X,X,,,X,X,X,,,X,X,X,,X,X
P0112/0520,F,-,IV,,X,,,X,X,X,,,X,X,D,,,D,X,D,,C,X
P0112/0521,F,-,IV,,X,,,X,X,X,,,X,X,F,,,F,X,F,,C,X
P0112/0522,F,-,IV,,X,,,X,X,X,,,X,X,D,,,E,X,D,,C,X
P0112/0523,M,-,ABS,,X,,,X,X,X,,,X,X,X,,,X,X,X,,X,X
P0112/0524,M,-,0,,E,,,X,X,E,,,X,X,X,,,X,X,X,,X,D
P0112/0525,M,-,IV,,X,,,X,X,X,,,X,X,D,,,D,D,C,,X,X
P0112/0526,M,-,ABS,,X,,,X,X,X,,,X,X,X,,,X,X,X,,X,X
P0112/0527,M,-,IV,,D,,,X,X,X,,,X,B,X,,,E,E,X,,X,X
P0112/0528,M,-,ABS,,X,,,X,X,X,,,X,X,X,,,X,X,X,,X,X
P0112/0529,M,-,IV,,X,,,X,X,X,,,X,X,E,,,E,X,C,,C,X
P0112/0530,M,-,IV,,D,,,X,X,C,,,X,X,X,,,E,X,X,,X,D
P0112/0531,M,-,IV,,X,,,X,X,X,,,X,X,E,,,F,X,D,,B,X
P0112/0532,M,-,IV,,E,,,X,X,X,,,X,X,X,,,D,C,X,,X,E
P0112/0533,M,-,ABS,,X,,,X,X,X,,,X,X,X,,,X,X,X,,X,X
P0112/0534,M,-,ABS,,X,,,X,X,X,,,X,X,X,,,X,X,X,,X,X
P0112/0535,M,-,ABS,,X,,,X,X,X,,,X,X,X,,,X,X,X,,X,X
P0112/0536,M,13,III,,X,,,X,X,X,,,X,X,D,,,E,X,C,,C,X
