CNO,SEX,AGGT,DIV,ACCOUNTANCY,ADV/MATHS,AGRICULTURE,ARABIC,BAM,BIOLOGY,CHEMISTRY,COMMERCE,COMP/SCIENCE,DIVINITY,ECONOMICS,ENGLISH,F & HN NUTRITION,FRENCH,G/STUDIES,GEOGR,HISTORY,IS/KNOWLEDGE,KISWAHILI,PHYSICS
P0101/0522,M,-,ABS,X,X,,,X,X,X,X,,,X,X,,,X,X,X,,X,X
P0101/0523,M,15,III,X,X,,,F,E,E,X,,,X,X,,,F,E,X,,X,X
P0101/0524,M,-,ABS,X,X,,,X,X,X,X,,,X,X,,,X,X,X,,X,X
P0101/0525,M,21,0,X,X,,,F,F,F,X,,,X,X,,,F,X,X,,X,F
P0101/0526,M,21,0,X,F,,,X,X,F,X,,,X,X,,,F,X,X,,X,F
P0101/0527,M,-,ABS,X,X,,,X,X,X,X,,,X,X,,,X,X,X,,X,X
P0101/0528,M,21,0,X,F,,,X,X,X,X,,,F,X,,,F,F,X,,X,X
P0101/0529,M,18,IV,X,E,,,X,X,S,X,,,X,X,,,F,X,X,,X,F
P0101/0530,M,15,III,X,X,,,X,X,X,X,,,X,S,,,F,X,E,,D,X
P0101/0531,M,21,0,X,X,,,X,X,X,X,,,X,F,,,F,X,F,,F,X
P0101/0532,M,-,0,X,F,,,X,X,X,X,,,X,X,,,X,X,X,,X,F
P0101/0533,M,19,IV,X,X,,,E,F,S,X,,,X,X,,,X,X,X,,X,S
P0101/0534,M,-,ABS,X,X,,,X,X,X,X,,,X,X,,,X,X,X,,X,X
P0101/0535,M,21,0,X,X,,,F,F,F,X,,,X,X,,,F,F,X,,X,X
P0101/0536,M,19,IV,X,F,,,X,X,X,X,,,X,X,,,F,E,X,,X,F
P0101/0537,M,11,II,X,X,,,F,X,X,X,,,D,X,,,E,C,D,,X,X
P0101/0538,M,-,0,X,F,,,X,X,X,X,,,X,X,,,F,X,X,,X,F
P0101/0539,M,-,IV,X,X,,,F,X,E,X,,,X,X,,,X,X,X,,X,X
P0101/0540,M,19,IV,X,X,,,F,E,F,X,,,X,X,,,F,X,X,,X,F
P0101/0541,M,-,ABS,X,X,,,X,X,X,X,,,X,X,,,X,X,X,,X,X
P0101/0542,M,21,0,X,X,,,F,X,X,X,,,F,X,,,F,F,F,,X,X
P0101/0543,M,21,0,X,X,,,X,X,X,X,,,X,F,,,F,X,F,,F,X
P0101/0544,M,-,ABS,X,X,,,X,X,X,X,,,X,X,,,X,X,X,,X,X
P0101/0545,M,21,0,X,F,,,X,X,F,X,,,X,X,,,F,X,X,,X,F
P0101/0546,M,14,III,X,X,,,X,X,X,X,,,X,E,,,F,X,E,,D,X
P0101/0547,M,-,ABS,X,X,,,X,X,X,X,,,X,X,,,X,X,X,,X,X
P0101/0548,M,19,IV,X,X,,,X,X,X,X,,,X,F,,,F,X,F,,E,X
P0101/0549,M,21,0,X,F,,,X,X,X,X,,,X,X,,,F,F,X,,X,F
P0101/0550,M,15,III,X,X,,,F,X,X,X,,,C,X,,,F,S,S,,X,X
P0101/0551,M,-,ABS,X,X,,,X,X,X,X,,,X,X,,,X,X,X,,X,X
P0101/0552,M,19,IV,X,F,,,X,X,E,X,,,X,X,,,X,X,X,,X,F
P0101/0553,M,-,ABS,X,X,,,X,X,X,X,,,X,X,,,X,X,X,,X,X
P0101/0554,M,20,0,X,F,,,X,X,S,X,,,X,X,,,X,X,X,,X,F
P0101/0555,M,13,III,X,X,,,F,X,X,X,,,E,X,,,F,C,E,,X,X
P0101/0556,M,-,ABS,X,X,,,X,X,X,X,,,X,X,,,X,X,X,,X,X
P0101/0557,M,-,0,X,X,,,X,X,S,X,,,X,X,,,X,X,X,,X,F
P0101/0558,M,19,IV,X,F,,,X,X,E,X,,,X,X,,,F,X,X,,X,F
P0104/0501,F,17,III,,X,,,X,X,X,,,,X,F,,,F,X,S,,D,X
P0104/0502,F,15,III,,X,,,X,X,X,,,,X,S,,,F,X,S,,C,X
P0104/0503,F,19,IV,,X,,,X,X,X,,,,X,F,,,F,X,F,,E,X
P0104/0504,F,16,III,,X,,,X,X,X,,,,X,F,,,F,X,E,,D,X
P0104/0505,F,18,IV,,X,,,X,X,X,,,,X,F,,,F,X,F,,D,X
P0104/0506,F,16,III,,X,,,X,X,X,,,,X,F,,,F,X,E,,D,X
P0104/0507,F,14,III,,X,,,X,X,X,,,,X,S,,,F,X,E,,C,X
P0104/0508,F,17,III,,X,,,X,X,X,,,,X,F,,,F,X,F,,C,X
P0104/0509,F,15,III,,X,,,X,X,X,,,,X,S,,,F,X,E,,D,X
P0104/0510,F,14,III,,X,,,X,X,X,,,,X,S,,,F,X,E,,C,X
P0104/0511,F,16,III,,X,,,X,X,X,,,,X,F,,,F,X,S,,C,X
P0104/0512,F,13,III,,X,,,X,X,X,,,,X,E,,,F,X,E,,C,X
P0104/0513,F,16,III,,X,,,X,X,X,,,,X,S,,,F,X,S,,D,X
P0104/0514,F,17,III,,X,,,X,X,X,,,,X,F,,,F,X,F,,C,X
P0104/0515,M,17,III,,X,,,X,X,X,,,,X,X,,,F,S,F,,D,X
P0104/0516,M,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P0104/0517,M,18,IV,,X,,,F,S,F,,,,X,X,,,F,E,X,,X,X
P0104/0518,M,15,III,,X,,,X,X,X,,,,X,S,,,F,D,E,,X,X
P0104/0519,M,11,II,,X,,,X,X,X,,,,X,X,,,F,D,D,,C,X
P0104/0520,M,13,III,,X,,,X,X,X,,,,X,X,,,F,D,E,,D,X
P0104/0521,M,12,II,,X,,,X,X,X,,,,X,X,,,F,D,E,,C,X
P0104/0522,M,18,IV,,X,,,X,X,X,,,,X,X,,,F,F,F,,D,X
P0104/0523,M,12,II,,X,,,X,X,X,,,,X,X,,,F,D,E,,C,X
P0104/0524,M,19,IV,,X,,,X,X,X,,,,X,F,,,F,X,F,,E,X
P0104/0525,M,20,0,,F,,,X,X,S,,,,X,X,,,F,X,X,,X,F
P0104/0526,M,18,IV,,X,,,X,X,X,,,,X,X,,,F,F,F,,D,X
P0104/0527,M,17,III,,X,,,X,X,X,,,,X,F,,,F,X,S,,D,X
P0104/0528,M,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P0104/0529,M,14,III,,X,,,X,X,X,,,,X,F,,,F,X,D,,C,X
P0104/0530,M,-,ABS,,X,,,X,X,X,,,,X,X,,,X,X,X,,X,X
P0104/0531,M,17,III,,F,,,X,X,X,,,,E,X,,,F,E,X,,X,X
P0104/0532,M,10,II,,X,,,X,X,X,,,,X,X,,,F,C,D,,C,X
P0104/0533,M,10,II,,X,,,X,X,X,,,,X,X,,,S,C,D,,C,X
P0104/0534,M,20,0,,F,,,X,X,X,,,,S,X,,,F,F,X,,X,X
P0104/0535,M,17,III,,X,,,X,X,X,,,,X,F,,,F,X,F,,C,X
P0104/0536,M,15,III,,X,,,X,X,X,,,,X,X,,,F,E,E,,E,X
P0104/0537,M,21,0,,F,,,X,X,F,,,,X,X,,,F,X,X,,X,F
P0104/0538,M,14,III,,X,,,X,X,X,,,,X,E,,,F,D,E,,X,X
P0110/0501,F,17,III,X,X,,,X,X,X,,,X,X,F,X,,S,X,S,,D,X
P0110/0502,F,-,ABS,X,X,,,X,X,X,,,X,X,X,X,,X,X,X,,X,X
P0110/0503,F,17,III,X,X,,,X,X,X,,,X,X,F,X,,F,X,S,,D,X
P0110/0504,F,16,III,X,X,,,X,X,X,,,X,X,F,X,,F,X,E,,D,X
P0110/0505,F,16,III,X,X,,,X,X,X,,,X,X,F,X,,F,D,E,,X,X
P0110/0506,F,10,II,X,X,,,X,X,X,,,X,X,D,X,,F,X,D,,B,X
P0110/0507,F,15,III,X,X,,,X,X,X,,,X,X,X,X,,F,S,E,,D,X
P0110/0508,F,11,II,X,X,,,X,X,X,,,X,X,X,X,,F,D,D,,C,X
P0110/0509,F,18,IV,X,X,,,X,X,X,,,X,X,F,X,,F,X,F,,D,X
P0110/0510,F,-,ABS,X,X,,,X,X,X,,,X,X,X,X,,X,X,X,,X,X
P0110/0511,F,13,III,X,X,,,X,X,X,,,X,X,X,X,,F,D,E,,D,X
P0110/0512,F,19,IV,X,X,,,X,X,X,,,X,X,F,X,,F,X,F,,E,X
P0110/0513,F,17,III,X,X,,,X,X,X,,,X,X,F,X,,S,X,S,,D,X
P0110/0514,F,14,III,X,X,,,X,X,X,,,E,X,X,X,,F,E,E,,D,X
P0110/0515,F,13,III,X,X,,,X,X,X,,,X,X,E,X,,S,X,D,,D,X
P0110/0516,F,13,III,X,X,,,X,X,X,,,X,X,E,X,,S,D,D,,X,X
P0110/0517,F,19,IV,X,X,,,X,X,X,,,X,X,F,X,,F,X,F,,E,X
P0110/0518,F,14,III,X,X,,,X,X,X,,,X,X,E,X,,F,X,E,,D,X
P0110/0519,F,14,III,X,X,,,X,X,X,,,X,X,E,X,,F,D,E,,X,X
P0110/0520,F,12,II,X,X,,,X,X,X,,,X,X,D,X,,S,X,D,,D,X
P0110/0521,F,17,III,X,X,,,X,X,X,,,X,X,F,X,,F,X,S,,D,X
P0110/0522,F,14,III,X,X,,,X,X,X,,,X,X,S,X,,F,X,E,,C,X
P0110/0523,F,14,III,X,X,,,X,X,X,,,X,X,S,X,,F,C,E,,X,X
P0110/0524,F,13,III,X,X,,,X,X,X,,,X,X,E,X,,F,X,E,,C,X
P0110/0525,F,16,III,X,X,,,X,X,X,,,X,X,F,X,,F,X,S,,C,X
P0110/0526,F,13,III,X,X,,,X,X,X,,,X,E,X,X,,F,D,D,,X,X
P0110/0527,F,14,III,X,X,,,X,X,X,,,X,X,E,X,,F,X,E,,D,X
P0110/0528,F,16,III,X,X,,,X,X,X,,,X,X,F,X,,F,X,E,,D,X
P0110/0529,F,13,III,X,X,,,X,X,X,,,X,X,E,X,,F,X,E,,C,X
P0110/0530,F,17,III,X,X,,,X,X,X,,,X,X,X,X,,F,S,F,,D,X
P0110/0531,F,16,III,X,X,,,X,X,X,,,X,X,F,X,,F,X,E,,D,X
P0110/0532,F,15,III,X,X,,,X,X,X,,,X,X,E,X,,F,X,S,,D,X
P0110/0533,F,15,III,X,X,,,X,X,X,,,X,X,S,X,,F,X,E,,D,X
P0110/0534,F,-,ABS,X,X,,,X,X,X,,,X,X,X,X,,X,X,X,,X,X
P0110/0535,F,19,IV,X,X,,,X,X,X,,,X,X,F,X,,F,X,F,,E,X
P0110/0536,F,15,III,X,X,,,X,X,X,,,X,X,S,X,,F,X,E,,D,X
P0110/0537,F,-,ABS,X,X,,,X,X,X,,,X,X,X,X,,X,X,X,,X,X
P0110/0538,F,15,III,X,X,,,X,X,X,,,X,X,F,X,,F,X,E,,C,X
P0110/0539,F,17,III,X,X,,,X,X,X,,,X,X,F,X,,F,E,E,,X,X
P0110/0540,F,16,III,X,X,,,X,X,X,,,X,X,E,X,,F,E,S,,X,X
P0110/0541,F,18,IV,X,X,,,X,X,X,,,X,X,F,X,,F,X,S,,E,X
P0110/0542,F,14,III,X,X,,,X,X,X,,,C,X,E,X,,F,X,E,,D,X
P0110/0543,F,16,III,X,X,,,X,X,X,,,X,X,F,X,,F,X,E,,D,X
P0110/0544,F,17,III,X,X,,,X,X,X,,,X,X,F,X,,F,X,S,,D,X
P0110/0545,F,20,0,X,X,,,X,X,X,,,X,X,F,X,,F,X,F,,S,X
P0110/0546,F,17,III,X,X,,,X,X,X,,,X,X,F,X,,F,X,E,,E,X
P0110/0547,F,14,III,X,X,,,X,X,X,,,X,X,E,X,,F,X,E,,D,X
P0110/0548,F,13,III,X,X,,,F,X,X,,,X,E,X,X,,F,D,D,,X,X
P0110/0549,F,14,III,X,X,,,X,X,X,,,X,X,S,X,,F,X,D,,D,X
P0110/0550,F,9,I,X,X,,,X,X,X,,,X,X,C,X,,F,X,C,,C,X
P0110/0551,F,19,IV,X,X,,,X,X,X,,,X,X,F,X,,F,X,F,,E,X
P0110/0552,F,17,III,X,X,,,X,X,X,,,X,X,F,X,,F,X,E,,E,X
P0110/0553,F,-,ABS,X,X,,,X,X,X,,,X,X,X,X,,X,X,X,,X,X
P0110/0554,F,16,III,X,X,,,X,X,X,,,X,X,S,X,,F,E,E,,X,X
P0110/0555,F,-,ABS,X,X,,,X,X,X,,,X,X,X,X,,X,X,X,,X,X
P0110/0556,F,16,III,X,X,,,X,X,X,,,X,X,X,X,,F,F,E,,D,X
P0110/0557,F,14,III,X,X,,,X,X,X,,,X,X,D,X,,F,E,E,,X,X
P0110/0558,F,-,ABS,X,X,,,X,X,X,,,X,X,X,X,,X,X,X,,X,X
P0110/0559,F,14,III,X,X,,,X,X,X,,,X,X,D,X,,F,X,S,,D,X
P0110/0560,F,16,III,X,X,,,X,X,X,,,X,X,F,X,,E,X,E,,D,X
P0110/0561,F,20,0,X,X,,,X,X,X,,,X,X,F,X,,F,X,F,,S,X
P0110/0562,F,15,III,X,X,,,X,X,X,,,X,X,S,X,,F,X,E,,D,X
P0110/0563,F,15,III,X,X,,,F,X,X,,,X,E,X,X,,F,E,E,,X,X
P0110/0564,F,14,III,X,X,,,X,X,X,,,X,X,E,X,,F,X,E,,D,X
P0110/0565,F,-,ABS,X,X,,,X,X,X,,,X,X,X,X,,X,X,X,,X,X
P0110/0566,F,18,IV,X,F,,,X,X,X,,,X,E,X,X,,F,S,X,,X,X
P0110/0567,F,14,III,X,X,,,X,X,X,,,X,X,E,X,,F,X,E,,D,X
P0110/0568,F,14,III,X,X,,,X,X,X,,,X,X,S,X,,F,X,E,,C,X
P0110/0569,F,16,III,X,X,,,X,X,X,,,S,X,F,X,,F,X,E,,D,X
P0110/0570,F,16,III,X,X,,,X,X,X,,,X,X,F,X,,F,D,E,,X,X
P0110/0571,F,11,II,X,X,,,X,X,X,,,X,X,D,X,,F,X,D,,C,X
P0110/0572,F,14,III,X,X,,,X,X,X,,,X,X,E,X,,F,X,E,,D,X
P0110/0573,F,17,III,X,X,,,X,X,X,,,X,X,F,X,,F,X,S,,D,X
P0110/0574,F,14,III,X,X,,,X,X,X,,,X,X,E,X,,F,X,D,,E,X
P0110/0575,F,18,IV,X,X,,,X,X,X,,,X,X,F,X,,F,X,F,,D,X
P0110/0576,F,12,II,X,X,,,X,X,X,,,X,X,X,X,,S,D,E,,C,X
P0110/0577,F,-,ABS,X,X,,,X,X,X,,,X,X,X,X,,X,X,X,,X,X
P0110/0578,F,13,III,X,X,,,X,X,X,,,X,X,E,X,,F,X,D,,D,X
P0110/0579,F,12,II,X,X,,,X,X,X,,,X,X,E,X,,F,X,D,,C,X
P0110/0580,F,-,ABS,X,X,,,X,X,X,,,X,X,X,X,,X,X,X,,X,X
P0110/0581,F,19,IV,X,X,,,F,F,F,,,X,X,X,X,,F,E,X,,X,X
P0110/0582,F,14,III,X,X,,,X,X,X,,,X,X,X,X,,F,E,E,,D,X
P0110/0583,F,17,III,X,X,,,X,X,X,,,X,X,S,X,,F,X,F,,D,X
P0110/0584,F,14,III,X,X,,,X,X,X,,,X,X,S,X,,S,D,D,,X,X
P0110/0585,F,19,IV,X,X,,,X,X,X,,,X,X,S,X,,F,F,S,,X,X
P0110/0586,F,18,IV,X,X,,,X,X,X,,,X,X,F,X,,F,X,S,,E,X
P0110/0587,F,14,III,X,X,,,X,X,X,,,X,X,E,X,,E,D,E,,X,X
P0110/0588,F,13,III,X,X,,,X,X,X,,,X,X,E,X,,F,X,D,,D,X
P0110/0589,M,17,III,X,X,,,X,X,X,,,X,X,X,X,,F,F,E,,E,X
P0110/0590,M,16,III,X,X,,,X,X,X,,,X,X,F,X,,F,X,E,,D,X
P0110/0591,M,12,II,X,X,,,X,X,X,,,X,X,X,X,,F,D,D,,D,X
P0110/0592,M,12,II,X,X,,,F,X,X,,,X,D,X,X,,F,D,D,,X,X
P0110/0593,M,20,0,X,X,,,F,S,F,,,X,X,X,X,,F,X,X,,X,F
P0110/0594,M,15,III,X,F,,,X,X,X,,,X,E,X,X,,F,C,X,,X,X
P0110/0595,M,13,III,X,X,,,X,X,X,,,X,X,E,X,,S,X,D,,D,X
P0110/0596,M,9,I,X,X,,,F,X,X,,,X,C,X,X,,S,C,C,,X,X
P0110/0597,M,15,III,X,X,,,X,X,X,,,X,X,F,X,,F,D,D,,X,X
P0110/0598,M,11,II,X,X,,,F,X,X,,,X,D,X,X,,S,D,C,,X,X
P0110/0599,M,14,III,X,X,,,X,X,X,,,X,X,X,X,,F,D,E,,E,X
P0110/0600,M,14,III,X,X,,,X,X,X,,,X,X,E,X,,F,E,D,,X,X
P0110/0601,M,16,III,X,X,,,X,X,X,,,F,X,F,X,,S,E,D,,X,X
P0110/0602,M,12,II,X,X,,,X,X,X,,,X,X,D,X,,F,D,D,,X,X
P0110/0603,M,13,III,X,X,,,F,X,X,,,X,D,X,X,,F,D,E,,X,X
P0110/0604,M,12,II,X,X,,,X,X,X,,,X,X,X,X,,F,C,E,,D,X
P0110/0605,M,17,III,X,X,,,F,X,X,,,X,F,X,X,,F,E,E,,X,X
P0110/0606,M,14,III,X,X,,,X,X,X,,,X,X,E,X,,F,D,E,,X,X
P0110/0607,M,15,III,X,X,,,X,X,X,,,X,X,F,X,,F,D,D,,X,X
P0110/0608,M,17,III,X,X,,,X,X,X,,,X,X,F,X,,F,E,E,,X,X
P0110/0609,M,16,III,X,X,,,X,X,X,,,X,X,E,X,,F,X,F,,D,X
P0110/0610,M,19,IV,X,F,,,X,X,X,,,X,F,X,X,,F,E,X,,X,X
P0110/0611,M,12,II,X,X,,,X,X,X,,,X,X,E,X,,S,X,D,,C,X
P0110/0612,M,17,III,X,F,,,X,X,D,,,X,X,X,X,,F,X,X,,X,S
P0110/0613,M,12,II,X,X,,,X,X,X,,,X,X,X,X,,F,C,S,,C,X
P0110/0614,M,15,III,X,X,,,F,X,X,,,X,E,X,X,,F,E,E,,X,X
P0110/0615,M,14,III,X,X,,,X,X,X,,,X,X,E,X,,F,X,E,,D,X
P0110/0616,M,-,ABS,X,X,,,X,X,X,,,X,X,X,X,,X,X,X,,X,X
P0110/0617,M,-,ABS,X,X,,,X,X,X,,,X,X,X,X,,X,X,X,,X,X
P0110/0618,M,10,II,X,X,,,X,X,X,,,X,X,X,X,,S,D,D,,B,X
P0110/0619,M,13,III,X,X,,,X,X,X,,,X,X,X,X,,F,D,E,,D,X
P0110/0620,M,-,ABS,X,X,,,X,X,X,,,X,X,X,X,,X,X,X,,X,X
P0110/0621,M,12,II,X,X,,,X,X,X,,,X,X,E,X,,F,X,D,,C,X
P0110/0622,M,19,IV,X,X,,,X,X,X,,,X,X,F,X,,S,F,E,,X,X
P0110/0623,M,14,III,X,F,,,X,X,X,,,X,D,X,X,,F,C,X,,X,X
P0110/0624,M,11,II,X,X,,,X,X,X,,,X,X,X,X,,F,C,D,,D,X
P0110/0625,M,15,III,X,X,,,X,X,X,,,X,X,S,X,,F,X,E,,D,X
P0110/0626,M,13,III,X,X,,,F,X,X,,,X,D,X,X,,F,D,E,,X,X
P0110/0627,M,16,III,X,X,,,X,X,X,,,X,X,F,X,,F,X,E,,D,X
P0110/0628,M,17,III,X,F,,,X,X,X,,,X,S,X,X,,F,D,X,,X,X
P0110/0629,M,14,III,X,X,,,X,X,X,,,X,X,F,X,,F,D,C,,X,X
P0110/0630,M,13,III,X,X,,,X,X,X,,,X,X,E,X,,F,D,D,,X,X
P0110/0631,M,16,III,X,F,,,X,X,X,,,X,E,X,X,,F,D,X,,X,X
P0110/0632,M,14,III,X,X,,,F,X,X,,,X,E,X,X,,F,D,E,,X,X
P0110/0633,M,20,0,X,F,,,X,X,X,,,X,F,X,X,,F,S,X,,X,X
P0110/0634,M,15,III,X,X,,,F,S,E,,,X,X,X,X,,F,D,X,,X,X
P0110/0635,M,13,III,X,X,,,X,X,X,,,X,X,D,X,,F,X,E,,D,X
P0110/0636,M,17,III,X,X,,,X,X,X,,,X,X,F,X,,F,E,E,,X,X
P0110/0637,M,14,III,X,X,,,X,X,X,,,X,X,E,X,,F,E,D,,X,X
P0110/0638,M,14,III,X,X,,,F,X,X,,,X,E,X,X,,F,D,E,,X,X
P0110/0639,M,15,III,X,F,,,X,X,X,,,X,D,X,X,,S,D,X,,X,X
P0110/0640,M,15,III,X,X,,,X,X,X,,,X,X,F,X,,S,D,D,,X,X
P0110/0641,M,10,II,X,X,,,X,X,X,,,X,X,X,X,,F,C,D,,C,X
P0110/0642,M,14,III,X,X,,,X,X,X,,,X,X,X,X,,F,S,E,,C,X
P0110/0643,M,15,III,X,X,,,X,X,X,,,X,X,F,X,,F,X,D,,D,X
P0110/0644,M,15,III,X,X,,,X,X,X,,,X,X,E,X,,F,D,S,,X,X
P0110/0645,M,8,I,X,X,,,X,X,X,,,X,X,C,X,,F,X,C,,B,X
P0110/0646,M,-,ABS,X,X,,,X,X,X,,,X,X,X,X,,X,X,X,,X,X
P0110/0647,M,17,III,X,F,,,X,X,X,,,X,E,X,X,,F,E,X,,X,X
P0110/0648,M,16,III,X,X,,,X,X,X,,,X,X,X,X,,S,E,S,,E,X
P0110/0649,M,16,III,X,F,,,X,X,X,,,X,S,X,X,,S,C,X,,X,X
P0110/0650,M,12,II,X,X,,,X,X,X,,,X,X,D,X,,F,D,D,,X,X
P0110/0651,M,-,ABS,X,X,,,X,X,X,,,X,X,X,X,,X,X,X,,X,X
P0110/0652,M,14,III,X,X,,,X,X,X,,,X,X,X,X,,F,E,E,,D,X
P0110/0653,M,12,II,X,X,,,X,X,X,,,X,X,X,X,,F,D,E,,C,X
P0110/0654,M,11,II,X,X,,,X,X,X,,,X,X,D,X,,E,C,D,,X,X
P0110/0655,M,19,IV,X,X,,,X,X,X,,,C,X,F,X,,F,X,F,,E,X
P0110/0656,M,13,III,X,X,,,X,X,X,,,X,X,E,X,,F,X,D,,D,X
P0110/0657,M,10,II,X,X,,,X,X,X,,,X,X,X,X,,F,C,C,,D,X
P0110/0658,M,20,0,X,X,,,F,F,F,,,X,X,X,X,,F,S,X,,X,X
P0110/0659,M,14,III,X,F,,,X,X,X,,,X,C,X,X,,F,D,X,,X,X
P0110/0660,M,16,III,X,X,,,F,E,F,,,X,X,X,X,,S,D,X,,X,X
P0110/0661,M,13,III,X,X,,,X,X,X,,,X,X,D,X,,F,D,E,,X,X
P0110/0662,M,14,III,X,X,,,X,X,X,,,X,X,E,X,,F,X,E,,D,X
P0110/0663,M,-,IV,X,X,,,X,X,D,,,X,X,X,X,,X,X,X,,X,F
P0110/0664,M,13,III,X,X,,,X,X,X,,,X,X,E,X,,F,D,D,,X,X
P0110/0665,M,15,III,X,X,,,X,X,X,,,X,X,E,X,,F,E,E,,X,X
P0110/0666,M,18,IV,X,X,,,F,F,E,,,X,X,X,X,,F,S,X,,X,X
P0110/0667,M,12,II,X,X,,,X,X,X,,,X,X,X,X,,F,C,E,,D,X
P0110/0668,M,13,III,X,X,,,X,X,X,,,X,X,X,X,,F,D,E,,D,X
P0110/0669,M,16,III,X,X,,,X,X,X,,,X,X,X,X,,F,E,S,,E,X
P0110/0670,M,15,III,X,X,,,X,X,X,,,X,X,S,X,,F,D,E,,X,X
P0110/0671,M,16,III,X,X,,,X,X,X,,,X,X,S,X,,F,E,E,,X,X
P0110/0672,M,16,III,X,X,,,X,X,X,,,X,X,F,X,,F,X,E,,D,X
P0110/0673,M,13,III,X,X,,,X,X,X,,,X,X,E,X,,F,X,D,,D,X
P0110/0674,M,14,III,X,X,,,X,X,X,,,X,X,F,X,,F,X,D,,C,X
P0110/0675,M,11,II,X,X,,,X,X,X,,,X,X,C,X,,F,X,D,,D,X
P0110/0676,M,12,II,X,X,,,X,X,X,,,X,X,D,X,,F,X,D,,D,X
P0110/0677,M,16,III,X,X,,,X,X,X,,,X,X,F,X,,F,X,E,,D,X
P0110/0678,M,12,II,X,X,,,X,X,X,,,X,X,X,X,,F,D,D,,D,X
P0110/0679,M,12,II,X,X,,,X,X,X,,,X,X,D,X,,S,D,D,,X,X
P0110/0680,M,18,IV,X,X,,,X,X,X,,,X,X,F,X,,F,E,S,,X,X
P0110/0681,M,11,II,X,X,,,X,X,X,,,X,X,X,X,,F,D,D,,C,X
P0110/0682,M,15,III,X,X,,,F,X,X,,,X,E,X,X,,F,E,E,,X,X
P0110/0683,M,12,II,X,X,,,X,X,X,,,X,X,D,X,,F,D,D,,X,X
P0110/0684,M,13,III,X,X,,,X,X,X,,,X,X,X,X,,F,E,D,,D,X
P0110/0685,M,13,III,X,X,,,X,X,X,,,X,X,E,X,,F,X,D,,D,X
P0110/0686,M,-,ABS,X,X,,,X,X,X,,,X,X,X,X,,X,X,X,,X,X
P0110/0687,M,15,III,X,X,,,X,X,X,,,X,X,X,X,,S,F,D,,D,X
P0110/0688,M,12,II,X,X,,,X,X,X,,,C,X,E,X,,E,X,D,,C,X
P0110/0689,M,14,III,X,X,,,X,X,X,,,X,X,X,X,,F,E,E,,D,X
P0110/0690,M,-,ABS,X,X,,,X,X,X,,,X,X,X,X,,X,X,X,,X,X
P0110/0691,M,13,III,X,X,,,X,X,X,,,X,X,X,X,,F,E,D,,D,X
P0110/0692,M,17,III,X,X,,,X,X,X,,,X,X,F,X,,F,D,S,,X,X
P0110/0693,M,18,IV,X,X,,,X,X,X,,,X,X,F,X,,F,X,S,,E,X
P0110/0694,M,-,ABS,X,X,,,X,X,X,,,X,X,X,X,,X,X,X,,X,X
P0110/0695,M,19,IV,X,X,,,X,X,X,,,X,X,F,X,,F,E,F,,X,X
P0110/0696,M,14,III,X,X,,,X,X,X,,,X,X,E,X,,F,D,E,,X,X
