CNO,SEX,AGGT,DIV,ACCOUNTANCY,ADV/MATHS,AGRICULTURE,ARABIC,BAM,BIOLOGY,CHEMISTRY,COMMERCE,COMP/SCIENCE,DIVINITY,ECONOMICS,ENGLISH,F & HN NUTRITION,FRENCH,G/STUDIES,GEOGR,HISTORY,IS/KNOWLEDGE,KISWAHILI,PHYSICS
P0101/0501,F,14,III,X,X,,,X,X,X,X,,,X,S,,,F,X,E,,C,X
P0101/0502,F,18,IV,X,X,,,X,X,X,X,,,X,F,,,F,X,F,,D,X
P0101/0503,F,-,ABS,X,X,,,X,X,X,X,,,X,X,,,X,X,X,,X,X
P0101/0504,F,12,II,X,X,,,X,X,X,X,,,X,X,,,S,E,D,,C,X
P0101/0505,F,13,III,X,X,,,F,D,E,X,,,X,X,,,F,D,X,,X,X
P0101/0506,F,21,0,X,F,,,X,X,F,X,,,X,X,,,F,X,X,,X,F
P0101/0507,F,19,IV,X,X,,,F,E,F,X,,,X,X,,,X,X,X,,X,F
P0101/0508,F,-,ABS,X,X,,,X,X,X,X,,,X,X,,,X,X,X,,X,X
P0101/0509,F,20,0,X,X,,,F,F,F,X,,,X,X,,,F,S,X,,X,X
P0101/0510,F,15,III,X,X,,,X,X,X,X,,,X,F,,,F,X,E,,C,X
P0101/0511,M,-,ABS,X,X,,,X,X,X,X,,,X,X,,,X,X,X,,X,X
P0101/0512,M,19,IV,X,E,,,X,X,F,X,,,X,X,,,F,X,X,,X,F
P0101/0513,M,13,III,X,X,,,X,X,X,X,,,X,E,,,F,X,E,,C,X
P0101/0514,M,-,0,X,F,,,X,X,X,X,,,X,X,,,X,X,X,,X,X
P0101/0515,M,20,0,X,F,,,X,X,S,X,,,X,X,,,F,X,X,,X,F
P0101/0516,M,21,0,X,F,,,X,X,X,X,,,X,X,,,F,F,X,,X,F
P0101/0518,M,16,III,X,X,,,X,X,X,X,,,X,F,,,F,X,E,,D,X
P0101/0519,M,19,IV,X,X,,,X,X,X,X,,,X,X,,,F,F,F,,E,X
P0101/0520,M,21,0,X,F,,,X,X,F,X,,,X,X,,,F,X,X,,X,F
P0101/0521,M,-,ABS,X,X,,,X,X,X,X,,,X,X,,,X,X,X,,X,X
